no,nomor_memo_dinas,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,negara_pembuat,keterangan
80,1159/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,792,PT. Konten Indomedia Pratama,Mobile Phone Dual SIM Card,IMO / G10 (GSM900/1800 MHz),China,
81,1160/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,919,PT. Radio Inovasi Anak Indonesia,EXCITER,CTE International / SS 22,Italy,
82,1161/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,985,"Samsung Electronics Co., Ltd",Wireless LAN Adapter,SAMSUNG / WIS09ABGN-G,China,
83,1162/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1001,Primax Electronics Ltd.,Bluetooth Micro Adapter,HP / 26-53201,China,
84,1163/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1015,Realtek Semiconductor Corp.,"802,11 b/g/n RTL8192SE miniCard",Realtek / RTL8192SE,Taiwan,
85,1164/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1029,PT. Ampnet Mega Pacific,Wireless USB Network Adapter,BELKIN / F6D4050,China,
86,1165/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1036,PT. Nokia Siemens Networks,Adjustable Electrical Downtilt Antenna,TONGYU COMMUNICATION / TDJH-182021D-65FT2,China,
87,1166/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1043,Logitech Far East Ltd.,"2,4GHz Cordless Mouse",Logitech / M-R00012,China,
88,1167/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1081,PT. Mitra Kabel Indonesia,Handphone,Quantum / F5820,China,
89,1168/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1082,PT. Artha Kreasi Abadi,LNBF (Low Noise Block Feed Horn),HANSEN Communications / HC1818,China,
90,1169/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1086,PT. Samsung Electronics Indonesia,Telepon Selular,SAMSUNG / GT-B7320 (GSM 850/900/1800/1900 MHz/WCDMA850/1900/2100 MHz) MHz),"Korea, Republic Of",
91,1170/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1087,PT. Triduta Mitra Sejahtera,Telepon Selular,CROSS / GG 53A (Dual Sim),China,
92,1171/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1101,PT. Duta Sarana Sukses,Wireless Access Point,Ubiquiti Networks / NanoStation 2 Loco,United States,
93,1172/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1105,PT. Indo Mahanaim,BLUETOOTH,PARROT / PARROT CONFERENCE,China,
94,1173/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1106,PT. Indo Mahanaim,BLUETOOTH,PARROT / PARROT minikit chic,China,
95,1174/SPRHU/BBPPT/VII/09,2009-07-16,2009-07-22,1044,Primax Electronics Ltd.,Bluetooth Laser Mouse,SONY / VGP-BMS15,China,
96,1175/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,890,PT. Naga Mas Kreasi Mandiri,Cellular Phone Dual SIM,K-Touch / M600 (GSM900/1800/1900 MHz),China,
97,1176/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,906,PT. Mikro Teknologi Indonesia,Handphone,TAXCO / GSM-GSM-CDMA/DM60,China,
98,1177/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1030,PT. Ampnet Mega Pacific,"Wireless Modem Router, ADSL",BELKIN / F6D4630-4,China,
99,1178/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1060,PT. Radio Jelita Bahanaswara,FM Transmitter,R.V.R / PJ 1000 M,Italy,
100,1179/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1103,PT. Sumberniaga Kharisma Nusa,TETRA Base Station,EADS / TB3,Finland,
101,1180/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1107,PT. Nokia Indonesia,Telepon Selular,Nokia / E72-1/RM-530 (GSM/EGSM 850/900/1800/1900 WCDMA /HSDPA/HSUPA 900/1900/2100 + WLAN),China,
102,1181/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1108,PT. Kortel International,CCTV,TMC / CT-U100,Indonesia,
103,1182/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1110,PT. Huawei Tech Investment,Dual Mode Mobile Phone,HUAWEI / U1280,China,
104,1183/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1111,PT. LG Electronics Indonesia,Telepon Selular,LG / GW525,"Korea, Republic Of",
105,1184/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1112,PT. LG Electronics Indonesia,Mobile Phone,LG / GM730,"Korea, Republic Of",
106,1185/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1123,PT. Pusara Indo Prima,Telepon Seluler,YSTARY / LM692,China,
107,1186/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1124,PT. Pusara Indo Prima,Telepon Seluler,YSTARY / Y-68,China,
108,1187/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1131,PT. Madya Utama Expresindo,Telepon Selular,"TiPhone / Tiphone 1233, Dual Band (CDMA 800 MHz)",China,
109,1188/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1133,Logitech Far East Ltd.,"2,4GHz Cordless Mouse",Logitech / M-R00007,China,
110,1189/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1140,PT. Sinar Mentari Era Jaya,4 Port ADSL2+ Modem Router,TP-LINK / TD-8840T,China,
111,1190/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,1143,PT. Sinar Mentari Era Jaya,150 Mbps Wireless Lite-N Usb Adapter,TP-LINK / TL-WN721N,China,
112,1191/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,271/2007,PT. Suara Garuda Mandiri,Pemancar Radio Siaran FM,Rakitan / Exciter SJ-30,Indonesia,
113,1192/SPRHU/BBPPT/VII/09,2009-07-17,2009-07-22,276/2007,PT. Radio Svara Dhe-K Sanganam,Pemancar Radio Siaran FM,Rakitan / Exciter SJ-30,Indonesia,
114,1193/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-23,270/2007,PT. Radio Jaya FM,Pemancar Radio Siaran FM,Rakitan Exciter SJ-30,Indonesia,
115,1194/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-23,1109,PT. Huawei Tech Investment,Fixed Wireless Phone CDMA 800 MHz,HUAWEI / ETS225M,China,
116,1195/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-24,1132,PT. Zhou Internasional,Telepon Selular Dual Standby GSM+GSM,ASIAFONE / AF703,China,
117,1196/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-23,1141,PT. Sistech Kharisma,TELEPON SELULAR PDA,HTC / HERO,Taiwan,
118,1197/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-23,1145,PT. ComWorks Indonesia,Telepon Seluler Dual Sim,eTouch / D37,China,
119,1198/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-23,1146,PT. Zhou Internasional,Telepon Seluler Dual Standby GSM+GSM,ASIAFONE / AF 903,China,
120,1199/SPRHU/BBPPT/VII/09,2009-07-21,2009-07-23,1144,PT. Telenet Citra Nusantara,Telepon Seluler,Motorola / W160,India,
121,1200/SPRHU/BBPPT/VII/09,2009-07-22,2009-07-23,1104,PT. Sumberniaga Kharisma Nusa,DXT Digital Exchanges for TETRA,EADS / DXT digital exchanges for TETRA,Finland,
122,1201/SPRHU/BBPPT/VII/09,2009-07-22,2009-07-23,1127,PT. Asia Utama Konsultan,Wireless LAN,Proxim / OriNOCO AP-4000M,China,
123,1202/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,933,PT. Reka Piranti Prakarsa,HSDPA COMMUNICATIONS SERVER,AXIA / AXIA A A608,Malaysia,
124,1203/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,972,Aruba Wireless Networks Inc.,802.11 a/g/b/n Wireless Access point,Aruba / RAP-5WN,China,
125,1204/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1057,PT. Transavia Utama,"Radar Transponder (9,2-9,5 GHz)",SAMYUNG / SAR-9,"Korea, Republic Of",
126,1205/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1074,PT. Mirusa Ham Elektronik,VHF Transceiver,"JACOM / JC-6288 (CT), Freq. 136-174 MHz",China,
127,1206/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1082,PT. Artha Kreasi Abadi,LNBF (Low Noise Block Feed Horn),HANSEN Communications / HC1818,China,
128,1207/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1083,PT. Prima Daya Indotama,Digital Extended 4 IN 1 C-Band LNBF,GOLDSAT / GS-450,China,
129,1208/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1084,PT. Prima Daya Indotama,Digital Extended Twin C-Band LNBF,GOLDSAT / GS-260,China,
130,1209/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1085,PT. Prima Daya Indotama,Digital Extended C-Band LNBF,GOLDSAT / GS-220,China,
131,1210/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1126,PT. Mega Citra Sejati,USB Modem CDMA,Skydata / SKD-U100M2,"Korea, Republic Of",
132,1211/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1128,PT. Bejana Nusa Agung,TELEPON SELULAR,ALCATEL / OT 800,China,
133,1212/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1135,PT. Konten Indomedia Pratama,Telepon Selular Dual SIM,IMO / L819,China,
134,1213/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1138,"PT. Radio Gema Nusantara Jaya, PT.",Pesawat Radio Siaran FM (Exciter),RVR / TEX 300,Italy,
135,1214/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1148,PT. ComWorks Indonesia,Telepon Selular Dual Sim,eTouch / D15,China,
136,1215/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1151,PT. Kahar Duta Sarana,PND GPS with Bluetooth,MIO / Mio Moov S550,Taiwan,
137,1216/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1125,Sony Ericsson Mobile Communications AB (SEAB),Telepon Selular,Sony Ericsson / NAITE;UMTS HSPA 850/1900/2100 GSM GPRS/EDGE 850/900/1800/1900 MHz,China,
138,1217/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1142,PT. Triduta Mitra Sejahtera,Telepon Selular,CROSS / GG 51C (Dual Sim),China,
139,1218/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1153,PT. Supertone,Telepon Seluler,SPC / BOSS-1000,China,
140,1219/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,1162,"PT. Radio Trimekar Abadi, PT.",FM Exciter,RVR / BLUES 30 NV,Italy,
141,1220/SPRHU/BBPPT/VII/09,2009-07-23,2009-07-24,973,Aruba Wireless Networks Inc.,802.11 b/g Wireless Access point,Aruba / RAP-2WG,China,
142,1221/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,368,PT. LEN Industri (Persero),Pemancar Televisi 2.000 Watt,BTESA / BTV23 / BTE23,SPAIN,
143,1222/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1154,PT. Wenxin Elektronika Tehnologi,Telepon Seluler,EXINT / E 3010,China,
144,1223/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1090,PT. Trimulti Maha Barata,RECEIVER,HITECH / HT 328 New,China,
145,1224/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-24,1149,PT. Suryajaya Teknotama,ANTENNA DUAL POLARIZED,ANDREW / HBXX-9014DS-VTM,China,
146,1225/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-24,1150,PT. Suryajaya Teknotama,ANTENNA DUAL POLARIZED,ANDREW / HBXX-9016DS-VTM,China,
147,1226/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1163,PT. Hewlett-Packard Indonesia,HP Wireless Receiver,hp / SK-7225 ( R ),China,
148,1227/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1165,PT. Hewlett-Packard Indonesia,HP Wireless Mouse,hp / SK-7225(M),China,
149,1228/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1166,PT. Hewlett-Packard Indonesia,HP Wireless Keyboard,hp / SK-7225(K),China,
150,1229/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1134,PT. Prolink Intidata Nusantara,"WIRELESS 802,11b/g 54Mbps USB 2,0 Network Adapter",REALTEK / RTL8187B,China,
151,1230/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1136,PT. Sinar Mentari Era Jaya,Wireless 2-Way Audio Surveilance Camera,TP-LINK / TL-SC3130G,China,
152,1231/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1137,PT. Sinar Mentari Era Jaya,150 Mbps Wireless Lite Router,TP-LINK / TL-WR741ND,China,
153,1232/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1157,PT. Megasindo Pratama,TELEPON SELULAR,G-STAR / 888,China,
154,1233/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1159,PT. Megasindo Pratama,TELEPON SELULER,TIGER / KF 268,China,
155,1234/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-28,1171,PT. MLW Telecom,Wireless Module,REALTEK / RTL8191SE,Taiwan,
156,1235/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1174,PT. Vagus Multi Technology,Telepon Selular GSM-GSM,Lexus / Lexus 1818,China,
157,1236/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1175,PT. Vagus Multi Technology,Telepon Selular GSM-GSM,Lexus / Lexus 1212,China,
158,1237/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1182,PT. Haier Telecom Indonesia,TELEPON SELULAR,HAIER / C700,China,
159,1238/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1188,PT. Metrotech Jaya Komunika,Telepon Selular GSM,NEXIAN / NX-G 922,China,
160,1239/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1190,PT. Madya Utama Expresindo,TELEPON SELULAR,GSTAR / GSTAR 888,China,
161,1240/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1191,PT. Madya Utama Expresindo,TELEPON SELULAR,GVON / GVON 900,China,
162,1241/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1192,PT. Sinar Jaya Sukses Mandiri,Telepon Selular,Ht Mobile / HT-21,China,
163,1242/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1193,PT. Konten Indomedia Pratama,Telepon Sellular Dual SIM,IMO / G911 (GSM900/1800 MHz),China,
164,1243/SPRHU/BBPPT/VII/09,2009-07-24,2009-07-27,1198,PT. Dian Graha Elektrika,Wireless LAN,Atheros / AR5006X,China,
1,1244/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,154,PT. Sumber Karunia Anugrah,Telephone,TORIPHONE / TP 962CID,China,
2,1245/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,155,PT. Sumber Karunia Anugrah,Telephone,TORIPHONE / TP 967CID,China,
3,1246/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1051,PT. Damai Sejati,Facsimile,PANASONIC / KX-FP711CX,Malaysia,
4,1247/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1063,PT. Madya Utama Expresindo,Telepon Selular,"GSTAR / GSTAR 238, Dualband (GSM900/1800 MHz)",China,
5,1248/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1113,PT. Mikro Teknologi Indonesia,Telepon Selular,TAXCO / GSM-GSM/TX12,China,
6,1249/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1122,PT. Philips Indonesia,Dect Phone (PP+FP),Philips / ID965,China,
7,1250/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1164,"Tokai Rika Co., Ltd.",Electronic Key,Tokai Rika / B90EA,Japan,
8,1251/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1172,PT. MLW Telecom,HSPA/EVDO VPN Wireless Broadband Gateway,SpeedUp / SpeedUp Router SU-8850VPN,China,
9,1252/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1173,PT. Damai Sejati,PBX,PANASONIC / KX-NCP1000BX,Japan,
10,1253/SPRHU/BBPPT/VIII/09,4-Aug-09,6-Aug-09,1181,PT. Central Cipta Kemakmuran,Wireless Lite N Rauter,TP-LINK / TL-WR741ND,China,
11,1254/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1184,Intermec Technologies Corporation,"802,11b/g portable printer",Intermec / PB32(BT),Singapore,
12,1255/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1187,PT. Radio La Yai Nusantara,Radio Pemancar FM Exciter,DEA / DEA Exciter 5Watt,Indonesia,
13,1256/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1194,PT. Konten Indomedia Pratama,Telepon Selular,Philips / X620 (GSM900/1800/1900/850 MHz),China,
14,1297/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1197,"Clarion Co., Ltd.",Car Radio with CD Player,Clarion / CX609A,China,
15,1258/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1195,PT. Konten Indomedia Pratama,Telepon Selular,Philips / E210 (GSM900/1800 MHz),China,
16,1299/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1199,"Clarion Co., Ltd.",Car Radio with CD Player,Clarion / CZ509A,China,
17,1260/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1207,PT. Huawei Tech Investment,CDMA USB Stick,HUAWEI / EC1260,China,
18,1261/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1208,PT. Huawei Tech Investment,Fixed Wireless Terminal,HUAWEI / ETS6630,China,
19,1262/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1212,PT. Cisco Systems Indonesia,Wireless-N Home Router,Linksys / WRT120N,China,
20,1263/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1213,PT. Abhimata Citra Abadi,Wireless Access Point,ARTICONET / AP-130GL,China,
21,1264/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1219,"AzureWave Technologies, Inc.",BLUETOOTH MODULE,AzureWave / AW-BT261,China,
22,1265/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1220,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / F5D7234-4-H,China,
23,1266/SPRHU/BBPPT/VII/09,2009-07-31,3-Aug-09,1239,PT. Netsource Global Technologies,GPS Tracking System,IntelliTrac / X1 Plus,Taiwan,
24,1267/SPRHU/BBPPT/VIII/09,4-Aug-09,6-Aug-09,1155,PT. Halilintar Lintas Semesta,Antenna Dual Broadband Cross Polarozed,"Powerwave / 5755,00",China,
25,1268/SPRHU/BBPPT/VIII/09,4-Aug-09,6-Aug-09,1156,PT. Halilintar Lintas Semesta,Antenna Dual High Broadband Cross Polarized,"Powerwave / 5740,00",China,
26,1269/SPRHU/BBPPT/VIII/09,4-Aug-09,6-Aug-09,1161,"Apple South Asia Pte, Ltd.",iPod Touch,Apple / A1288,China,
27,1270/SPRHU/BBPPT/VIII/09,4-Aug-09,6-Aug-09,1205,PT. Sumber Karunia Anugrah,Pesawat Telepon Analog,Alcatel / EX 29446 CE2-A,Hong Kong,
28,1271/SPRHU/BBPPT/VIII/09,4-Aug-09,6-Aug-09,1259,PT. Central Cipta Kemakmuran,300M Wireless N ADSL2+Modem Router,TP-LINK / TD-W8960N,China,
29,1272/SPRHU/BBPPT/VIII/09,4-Aug-09,25-Aug-09,1260,PT. Central Cipta Kemakmuran,54M High Power Wireless Access Point,TP-LINK / TL-WA5110G,China,
30,1273/SPRHU/BBPPT/VIII/09,6-Aug-09,7-Aug-09,1180,PT. Central Cipta Kemakmuran,Wireless Lite N USB Adapter,TP-LINK / TL-WN721N,China,
31,1274/SPRHU/BBPPT/VIII/09,6-Aug-09,7-Aug-09,1183,Intermec Technologies Corporation,Wireless portable printer,Intermec / PB32(WLAN),Singapore,
32,1275/SPRHU/BBPPT/VIII/09,6-Aug-09,7-Aug-09,1185,Intermec Technologies Corporation,Wireless portable printer,Intermec / PB22(WLAN),Singapore,
33,1276/SPRHU/BBPPT/VIII/09,6-Aug-09,7-Aug-09,1252,"Chicony Electronics CO., LTD.",Wireless Mouse,Gateway / MR-0610T,China,
34,1277/SPRHU/BBPPT/VIII/09,6-Aug-09,7-Aug-09,1253,"Chicony Electronics CO., LTD.",Wireless Keyboard,Gateway /KR-0817,China,
35,1278/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,714,PT. Freeport Indonesia,Radio Telemetry,Modular / Assy Microcell2 UHF/EF J5W RADIO R-B,United States,
36,1279/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,925,PT. Mikro Teknologi Indonesia,Handphone,TAXCO / TX10 (GSM900/DCS1800 Mhz),China,
37,1180/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1139,PT. Tri Satkom Mandiri,TWTA (Traveling Wave Tube Amplifies) 750W Ku-Band,CPI (Communication & Power Industries) / VZU-6997AD,Canada,
38,1281/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1152,PT. Mikro Teknologi Indonesia,Telepon Selular,TAXCO / GSM-GSM-TV/VX12,China,
39,1282/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1201,PT. Megasindo Pratama,TELEPON SELULER,TO CALL / T-550,China,
40,1283/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1202,PT. Megasindo Pratama,TELEPON SELULER,TO CALL / T-888,China,
41,1284/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1225,PT. Damai Sejati,PBX,PANASONIC / KX-TDE600BX,Japan,
42,1285/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1241,PT. Canung Karya,Telepon Selular/Dual Band GSM,COMMTIVA / SOLA S1R/1000-0001,China,
43,1286/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1245,PT. ZTE Indonesia,Telepon Selular Dua SIM Card,ZTE / G S212 (GSM-GSM),China,
44,1287/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1246,PT. ZTE Indonesia,Telepon Selular GSM,ZTE / S315,China,
45,1288/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1257,PT. Sampoerna Telekomunikasi Indonesia,USB Modem CDMA 1X EV-DO (450 MHz),ZTE / AC5710,China,
46,1289/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1204,PT. Metrotech Jaya Komunika,Telepon Selular GSM,NEXIAN / NX-T 911,China,
47,1290/SPRHU/BBPPT/VIII/09,7-Aug-09,10-Aug-09,1176,PT. Sumber Karunia Anugrah,Handy Talky,TORIPHONE / TP-998,China,
48,1291/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1209,PT. Radio Rembang Bangkit,Pemancar Radio Swasta,R.V.R. Elettronica / TEX 30 LCD / S,Italy,
49,1292/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1216,PT. Prima Daya Indotama,Digital Satellite Receiver,GOLDSAT / GSR 1800,China,
50,1293/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1217,PT. Prima Daya Indotama,Digital Satellite Receiver,GOLDSAT / GSR 1900,China,
51,1294/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1230,Sony Ericsson Mobile Communications AB (SEAB),Bluetooth Headset,Sony Ericsson / Sony Ericsson VH-300,China,
52,1295/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1235,PT. Nokia Indonesia,BLUETOOTH HEADSET,NOKIA / BH-905,China,
53,1296/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1236,PT. Nokia Indonesia,BLUETOOTH HEADSET,NOKIA / BH-216,China,
54,1297/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1238,PT. Rohde & Schwarz Indonesia,HF Receiver,Rohde & Schwarz / EK895,Germany,
55,1298/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1261,PT. Radio Swara Adhi Kusuma,Pemancar Radio Elektronik/Exiter 30W Streo,R.V.R Elettronica / BLUES30NV,Italy,
56,1299/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1266,PT. Radio Karya Pancaran Swaramedia,EXCITER,R.V.R. Elettronica / TEX30LCD/S,Italy,
57,1300/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1271,PT. Radio Bahan Banten,Exciter Radio FM,Harris / Micromax,United States,
58,1301/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1218,PT. Prima Daya Indotama,Digital Satellite Receiver,GOLDSAT / GSR 1700,China,
59,1302/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1237,PT. Rohde & Schwarz Indonesia,Radio HF Transceiver Series 2000,Rohde & Schwarz / XK2900L,Germany,
60,1303/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1272,PT. Sinar Mentari Era Jaya,Wireless N ADSL2+ Modem Router,TP-LINK / TD-W8960N,China,
61,1304/SPRHU/BBPPT/VIII/09,10-Aug-09,11-Aug-09,1273,PT. Sinar Mentari Era Jaya,54M High Power Wireless Access Point,TP-LINK / TL-WA5110G,China,
62,1305/SPRHU/BBPPT/VIII/09,10-Aug-09,12-Aug-09,1160,PT. Wenxin Elektronika Tehnologi,Telepon Seluler,ZEE / 888,China,
63,1306/SPRHU/BBPPT/VIII/09,10-Aug-09,12-Aug-09,1206,PT. Wangz Serasi Bertiga Niaga,Telepon Seluler,BESS CELL / Dual On GSM-GSM / C 138,China,
64,1307/SPRHU/BBPPT/VIII/09,10-Aug-09,12-Aug-09,1224,PT. Mikro Teknologi Indonesia,Telepon Selular,TAXCO / GSM-GSM/TX30,China,
65,1308/SPRHU/BBPPT/VIII/09,10-Aug-09,12-Aug-09,1226,PT. Gvon Nusantara,Telepon Selular GSM,GVON / Gvon 610,China,
66,1309/SPRHU/BBPPT/VIII/09,10-Aug-09,12-Aug-09,1228,"Samsung Digital Imaging CO., LTD.","Digital Camera Support IEEE 802,11 b/g Wireless LAN and Bluetooth2.1+EDR",SAMSUNG / ST1000,"Korea, Republic Of",
67,1310/SPRHU/BBPPT/VIII/09,10-Aug-09,12-Aug-09,1186,Intermec Technologies Corporation,"802,11b/g portable printer",Intermec / PB22(BT),Singapore,
68,1311/SPRHU/BBPPT/VIII/09,12-Aug-09,13-Aug-09,1167,3Com Corporation,H3C Wireless WA2220E-AG Dual-Radio 11a/b/g Access Point,H3C / H3C WA2220E-AG,China,
69,1312/SPRHU/BBPPT/VIII/09,12-Aug-09,13-Aug-09,1168,3Com Corporation,H3C Wireless WA2110-AG Single-Radio 11a/b/g Access Point,H3C / H3C WA2110-AG,China,
70,1313/SPRHU/BBPPT/VIII/09,12-Aug-09,13-Aug-09,1169,3Com Corporation,H3C Wireless WA2620E-AGN Dual-Radio 11a/b/g/n Access Point,H3C / H3C WA2620E-AGN,China,
71,1314/SPRHU/BBPPT/VIII/09,12-Aug-09,13-Aug-09,1170,3Com Corporation,H3C Wireless WA2610E-AGN Single-Radio 11a/b/g/n Access Point,H3C / H3C WA2610E-AGN,China,
72,1315/SPRHU/BBPPT/VIII/09,12-Aug-09,13-Aug-09,1189,PT. Dharma Dwitunggal Utama,VHF/AM Transceiver,JOTRON / TR-7525,Norway,
